Rosalind_2977 Rosalind_9236
Rosalind_6007 Rosalind_9671
Rosalind_2183 Rosalind_1703
Rosalind_2183 Rosalind_5712
Rosalind_2183 Rosalind_2721
Rosalind_6673 Rosalind_4519
Rosalind_7621 Rosalind_4519
Rosalind_3731 Rosalind_6845
Rosalind_4181 Rosalind_5566
Rosalind_8666 Rosalind_2162
Rosalind_5992 Rosalind_8677
Rosalind_5992 Rosalind_2183
Rosalind_5992 Rosalind_4559
Rosalind_5992 Rosalind_3844
Rosalind_5992 Rosalind_1996
Rosalind_9408 Rosalind_2688
Rosalind_8153 Rosalind_6765
Rosalind_0369 Rosalind_0853
Rosalind_9906 Rosalind_6389
Rosalind_9906 Rosalind_8642
Rosalind_9906 Rosalind_9796
Rosalind_0721 Rosalind_7516
Rosalind_0721 Rosalind_1977
Rosalind_0721 Rosalind_8153
Rosalind_0721 Rosalind_6057
Rosalind_1434 Rosalind_4402
Rosalind_8446 Rosalind_4402
Rosalind_0680 Rosalind_6389
Rosalind_0680 Rosalind_8642
Rosalind_0680 Rosalind_9796
Rosalind_4873 Rosalind_3801
Rosalind_4873 Rosalind_1287
Rosalind_4873 Rosalind_1929
Rosalind_5388 Rosalind_6389
Rosalind_5388 Rosalind_8642
Rosalind_5388 Rosalind_9796
Rosalind_2483 Rosalind_3801
Rosalind_2483 Rosalind_1287
Rosalind_2483 Rosalind_1929
Rosalind_4082 Rosalind_4758
Rosalind_4082 Rosalind_9408
Rosalind_3245 Rosalind_3801
Rosalind_3245 Rosalind_1287
Rosalind_3245 Rosalind_1929
Rosalind_0853 Rosalind_4547
Rosalind_6765 Rosalind_4359
Rosalind_4604 Rosalind_2162
Rosalind_9057 Rosalind_0815
Rosalind_6003 Rosalind_9275
Rosalind_6003 Rosalind_6673
Rosalind_4188 Rosalind_3731
Rosalind_4188 Rosalind_8446
Rosalind_4188 Rosalind_4604
Rosalind_4188 Rosalind_9667
Rosalind_9667 Rosalind_6389
Rosalind_9667 Rosalind_8642
Rosalind_9667 Rosalind_9796
Rosalind_2040 Rosalind_9672
Rosalind_2040 Rosalind_4082
Rosalind_4519 Rosalind_2125
Rosalind_4519 Rosalind_1848
Rosalind_4519 Rosalind_8289
Rosalind_4519 Rosalind_8430
Rosalind_5753 Rosalind_7376
Rosalind_4802 Rosalind_7051
Rosalind_4802 Rosalind_1013
Rosalind_4802 Rosalind_9262
Rosalind_4802 Rosalind_4873
Rosalind_2688 Rosalind_7051
Rosalind_2688 Rosalind_1013
Rosalind_2688 Rosalind_9262
Rosalind_2688 Rosalind_4873
Rosalind_9251 Rosalind_4402
Rosalind_8701 Rosalind_8666
Rosalind_2254 Rosalind_3245
Rosalind_6761 Rosalind_4519
Rosalind_1929 Rosalind_9927
Rosalind_4059 Rosalind_4848
Rosalind_4059 Rosalind_0067
Rosalind_4059 Rosalind_2967
Rosalind_4059 Rosalind_2483
Rosalind_4059 Rosalind_4802
Rosalind_4359 Rosalind_3245
Rosalind_9796 Rosalind_2688
Rosalind_5174 Rosalind_0369
Rosalind_6057 Rosalind_3731
Rosalind_6057 Rosalind_8446
Rosalind_6057 Rosalind_4604
Rosalind_6057 Rosalind_9667
Rosalind_4559 Rosalind_6778
Rosalind_4559 Rosalind_8956
Rosalind_8371 Rosalind_1395
Rosalind_8355 Rosalind_1434
Rosalind_8355 Rosalind_9671
